"Person_ID","Crash_Date","Crash_Location","Victim","Crash_Circumstances","Longitude","Latitude","Location"
"O1997395","02/01/2025 08:45:00 AM","15 S WESTERN AVE","PEDESTRIAN","UNIT 1 STRUCK PEDESTRIAN CROSSING MIDBLOCK.","-87.68627357","41.88071091","POINT (-87.68627357 41.88071091)"
"O1996980","01/31/2025 05:12:00 PM","7600 S PARNELL AVE","DRIVER","UNIT 1 VEERED INTO ONCOMING TRAFFIC, STRIKING UNIT 2 HEAD-ON AT A HIGH RATE OF SPEED. UNIT 1 DRIVER DIED.","-87.63853958","41.75607825","POINT (-87.63853958 41.75607825)"
"O1996472","01/31/2025 12:03:00 AM","1707 E 103RD ST","DRIVER","UNIT 1 REAR-ENDED UNIT 2 AND CAUGHT ON FIRE. UNIT 1 DRIVER DIED.","-87.58292796","41.70772551","POINT (-87.58292796 41.70772551)"
"O1992645","01/24/2025 08:48:00 AM","799 N OAKLEY BLVD","PEDESTRIAN","DRIVER TURNED RIGHT ON RED AND STRUCK PEDESTRIAN IN CROSSWALK.","-87.68424854","41.8957417","POINT (-87.68424854 41.8957417)"
"O1987829","01/16/2025 03:10:00 AM","7743 S CICERO AVE","DRIVER","DRIVER LOST CONTROL AND STRUCK A POLE.","-87.74129791","41.75150017","POINT (-87.74129791 41.75150017)"
"O1981096","01/05/2025 04:50:00 AM","2604 W 60TH ST","PEDESTRIAN","DRIVER UNDER THE INFLUENCE STRUCK PEDESTRIAN IN ROADWAY.","-87.68891538","41.78476795","POINT (-87.68891538 41.78476795)"
"O1978612","12/30/2024 09:58:00 PM","7900 S AVALON AVE","DRIVER","DRIVER LOST CONTROL AND STRUCK A POLE AT A HIGH RATE OF SPEED.","-87.59441663","41.75130668","POINT (-87.59441663 41.75130668)"
"O1977635","12/29/2024 03:36:00 AM","501 W GARFIELD BLVD","DRIVER","DRIVER LOST CONTROL AND STRUCK A TREE AT A HIGH RATE OF SPEED.","-87.63796278","41.79396552","POINT (-87.63796278 41.79396552)"
"O1978036","12/26/2024 12:03:00 PM","1551 E 79TH ST","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN CROSSING AGAINST SIGNAL IN CROSSWALK.","-87.58615085","41.75139042","POINT (-87.58615085 41.75139042)"
"P436362","12/22/2024 01:27:00 PM","4300 W LAKE ST","DRIVER","DRIVER STRUCK ""L"" TRACK PILLAR AT A HIGH RATE OF SPEED. ONE PASSENGER DIED.","-87.73329708","41.88600052","POINT (-87.73329708 41.88600052)"
